Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:54:52+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.93, 4.51, 3.83
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1024/iterations:256_median                                    46248 ns        46031 ns            5 items_per_second=22.2458M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                     3757 ns         3727 ns            5 items_per_second=1.54028M/s
BM_Sweep_Levels/1024/iterations:256_cv                                         7.89 %          7.85 %             5 items_per_second=7.11%
BM_Sweep_Levels/iterations:256_BigO                                        47595.87 (1)    47499.22 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                7 %             7 %    
BM_Cancel/1/iterations:65536_mean                                              29.7 ns         29.7 ns            5
BM_Cancel/1/iterations:65536_median                                            29.7 ns         29.7 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.245 ns        0.229 ns            5
BM_Cancel/1/iterations:65536_cv                                                0.82 %          0.77 %             5
BM_Cancel/16/iterations:65536_mean                                             95.4 ns         95.3 ns            5
BM_Cancel/16/iterations:65536_median                                           94.6 ns         94.6 ns            5
BM_Cancel/16/iterations:65536_stddev                                           3.54 ns         3.64 ns            5
BM_Cancel/16/iterations:65536_cv                                               3.71 %          3.82 %             5
BM_Cancel/256/iterations:65536_mean                                             137 ns          137 ns            5
BM_Cancel/256/iterations:65536_median                                           138 ns          138 ns            5
BM_Cancel/256/iterations:65536_stddev                                          6.30 ns         6.34 ns            5
BM_Cancel/256/iterations:65536_cv                                              4.60 %          4.64 %             5
BM_Cancel/4096/iterations:65536_mean                                            165 ns          164 ns            5
BM_Cancel/4096/iterations:65536_median                                          163 ns          163 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         8.17 ns         8.11 ns            5
BM_Cancel/4096/iterations:65536_cv                                             4.96 %          4.94 %             5
