Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T02:24:16+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.42, 5.08, 4.89
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/16/iterations:65536_stddev                                           1.01 ns         1.00 ns            5
BM_Cancel/16/iterations:65536_cv                                               2.93 %          2.91 %             5
BM_Cancel/256/iterations:65536_mean                                            58.5 ns         58.5 ns            5
BM_Cancel/256/iterations:65536_median                                          58.4 ns         58.4 ns            5
BM_Cancel/256/iterations:65536_stddev                                         0.605 ns        0.598 ns            5
BM_Cancel/256/iterations:65536_cv                                              1.04 %          1.02 %             5
BM_Cancel/4096/iterations:65536_mean                                           75.4 ns         75.4 ns            5
BM_Cancel/4096/iterations:65536_median                                         75.6 ns         75.6 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         2.08 ns         2.10 ns            5
BM_Cancel/4096/iterations:65536_cv                                             2.76 %          2.79 %             5
BM_Cancel/65536/iterations:65536_mean                                           123 ns          123 ns            5
BM_Cancel/65536/iterations:65536_median                                         125 ns          125 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        4.45 ns         4.47 ns            5
BM_Cancel/65536/iterations:65536_cv                                            3.61 %          3.62 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          21.8 ns         21.8 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        21.8 ns         21.8 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.041 ns        0.044 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            0.19 %          0.20 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         22.7 ns         22.7 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       22.5 ns         22.5 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.405 ns        0.402 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           1.78 %          1.77 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        22.5 ns         22.5 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      22.5 ns         22.5 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.092 ns        0.091 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          0.41 %          0.40 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       27.4 ns         27.4 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     27.4 ns         27.4 ns            5
