Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T20:15:57+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.48, 4.31, 5.25
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/64/iterations:4096_stddev                                      34.2 ns         31.3 ns            5 items_per_second=66.2673k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          0.62 %          0.57 %             5 items_per_second=0.57%
BM_Sweep_Levels/iterations:4096_BigO                                        5504.25 (1)     5486.67 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      22003 ns        21954 ns            5 items_per_second=11.6609M/s
BM_Sweep_Levels/256/iterations:1024_median                                    21984 ns        21949 ns            5 items_per_second=11.6633M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                     93.7 ns         78.1 ns            5 items_per_second=41.4034k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         0.43 %          0.36 %             5 items_per_second=0.36%
BM_Sweep_Levels/iterations:1024_BigO                                       22002.95 (1)    21953.91 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               0 %             0 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      88596 ns        88393 ns            5 items_per_second=11.5856M/s
BM_Sweep_Levels/1024/iterations:256_median                                    88777 ns        88508 ns            5 items_per_second=11.5696M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      966 ns          916 ns            5 items_per_second=120.883k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.09 %          1.04 %             5 items_per_second=1.04%
BM_Sweep_Levels/iterations:256_BigO                                        88596.03 (1)    88392.97 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              61.0 ns         60.8 ns            5
BM_Cancel/1/iterations:65536_median                                            60.9 ns         60.8 ns            5
BM_Cancel/1/iterations:65536_stddev                                            1.25 ns        0.969 ns            5
BM_Cancel/1/iterations:65536_cv                                                2.05 %          1.59 %             5
BM_Cancel/16/iterations:65536_mean                                             94.9 ns         94.7 ns            5
BM_Cancel/16/iterations:65536_median                                           94.7 ns         94.7 ns            5
BM_Cancel/16/iterations:65536_stddev                                           1.49 ns         1.43 ns            5
BM_Cancel/16/iterations:65536_cv                                               1.57 %          1.52 %             5
BM_Cancel/256/iterations:65536_mean                                             112 ns          112 ns            5
BM_Cancel/256/iterations:65536_median                                           112 ns          112 ns            5
BM_Cancel/256/iterations:65536_stddev                                          1.89 ns         1.70 ns            5
BM_Cancel/256/iterations:65536_cv                                              1.69 %          1.52 %             5
BM_Cancel/4096/iterations:65536_mean                                            175 ns          175 ns            5
BM_Cancel/4096/iterations:65536_median                                          175 ns          175 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         4.20 ns         3.96 ns            5
BM_Cancel/4096/iterations:65536_cv                                             2.40 %          2.26 %             5
BM_Cancel/65536/iterations:65536_mean                                           143 ns          143 ns            5
BM_Cancel/65536/iterations:65536_median                                         145 ns          144 ns            5
