Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:22:54+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 8.58, 7.08, 5.49
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/65536/iterations:65536_mean                                           157 ns          156 ns            5
BM_Cancel/65536/iterations:65536_median                                         157 ns          157 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        1.98 ns         1.83 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.26 %          1.17 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          27.0 ns         27.0 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        27.0 ns         27.0 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.182 ns        0.154 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            0.67 %          0.57 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         29.1 ns         28.8 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       28.7 ns         28.7 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.889 ns        0.433 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           3.06 %          1.50 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        28.7 ns         28.6 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      28.4 ns         28.4 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                      1.36 ns         1.19 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          4.74 %          4.17 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       32.0 ns         32.0 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     32.1 ns         32.1 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.444 ns        0.434 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.39 %          1.36 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      35.7 ns         35.4 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    35.3 ns         35.1 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                    1.12 ns         1.07 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        3.15 %          3.01 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             74.7 ns         74.5 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           74.6 ns         74.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           1.04 ns        0.797 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               1.39 %          1.07 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean            99.4 ns         99.2 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median          99.7 ns         99.5 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev          2.02 ns         1.83 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              2.03 %          1.85 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            157 ns          157 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          157 ns          157 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         1.40 ns         1.07 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.89 %          0.68 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           211 ns          210 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         211 ns          210 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev       0.871 ns        0.602 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.41 %          0.29 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          539 ns          537 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        540 ns          538 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       6.23 ns         6.23 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           1.16 %          1.16 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  73.9 ns         73.9 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                73.8 ns         73.7 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                1.28 ns         1.21 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    1.74 %          1.64 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                  100 ns         99.9 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median                100 ns         99.9 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev              0.262 ns        0.134 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   0.26 %          0.13 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 157 ns          156 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               156 ns          156 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev              1.11 ns         1.08 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.71 %          0.69 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                211 ns          210 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              211 ns          211 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             2.09 ns         2.02 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.99 %          0.96 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               536 ns          535 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             538 ns          537 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            6.85 ns         6.84 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                1.28 %          1.28 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        7.90 ns         7.90 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      7.89 ns         7.89 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.054 ns        0.057 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          0.68 %          0.72 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        14.6 ns         14.5 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      14.2 ns         14.3 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.827 ns        0.675 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          5.68 %          4.66 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       46.4 ns         46.2 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     46.2 ns         46.2 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.750 ns        0.584 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         1.62 %          1.26 %             5
