Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:37:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.39, 3.78, 3.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.05 %          0.67 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      33.8 ns         33.7 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    33.8 ns         33.8 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.637 ns        0.577 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        1.89 %          1.71 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             83.8 ns         83.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           83.6 ns         83.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           1.40 ns         1.50 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               1.68 %          1.79 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean             110 ns          110 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median           111 ns          111 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev          1.14 ns         1.02 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              1.04 %          0.92 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            164 ns          164 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          163 ns          163 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         1.89 ns         1.91 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             1.15 %          1.17 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           214 ns          214 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         214 ns          214 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev       0.525 ns        0.304 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.25 %          0.14 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          673 ns          672 ns            5
