Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:35:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.05, 3.37, 3.07
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean             108 ns          108 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median           108 ns          108 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev          3.64 ns         3.61 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              3.36 %          3.33 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            162 ns          161 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          162 ns          161 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         1.22 ns         1.10 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.75 %          0.68 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           214 ns          213 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         214 ns          213 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev       0.936 ns        0.985 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.44 %          0.46 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          649 ns          648 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        652 ns          651 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       20.3 ns         19.9 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           3.13 %          3.07 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  73.9 ns         73.8 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                69.5 ns         69.5 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                9.53 ns         9.55 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                   12.90 %         12.94 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                  106 ns          105 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median                105 ns          105 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev               2.29 ns         2.39 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   2.17 %          2.26 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 163 ns          163 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               163 ns          163 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev              1.54 ns         1.49 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.95 %          0.91 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                214 ns          214 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              214 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             2.74 ns         2.83 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 1.28 %          1.32 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               647 ns          647 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             650 ns          648 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            9.42 ns         9.56 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                1.46 %          1.48 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        8.14 ns         8.07 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      7.91 ns         7.90 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.445 ns        0.296 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          5.46 %          3.66 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        14.9 ns         14.9 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      15.4 ns         15.4 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.733 ns        0.735 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          4.92 %          4.93 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       46.4 ns         46.4 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     46.5 ns         46.4 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.412 ns        0.359 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         0.89 %          0.77 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        209 ns          209 ns            5
