Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:52:37+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 6.08, 6.35, 6.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/iterations:1024_BigO                                       52191.50 (1)    52119.92 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                     205229 ns       204984 ns            5 items_per_second=4.99697M/s
BM_Sweep_Levels/1024/iterations:256_median                                   205692 ns       205508 ns            5 items_per_second=4.98278M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                     3887 ns         3893 ns            5 items_per_second=95.1241k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.89 %          1.90 %             5 items_per_second=1.90%
BM_Sweep_Levels/iterations:256_BigO                                        20522.87 lgN    20498.36 lgN  
BM_Sweep_Levels/iterations:256_RMS                                                2 %             2 %    
BM_Cancel/1/iterations:65536_mean                                              17.1 ns         17.1 ns            5
BM_Cancel/1/iterations:65536_median                                            17.2 ns         17.0 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.290 ns        0.287 ns            5
BM_Cancel/1/iterations:65536_cv                                                1.70 %          1.68 %             5
BM_Cancel/16/iterations:65536_mean                                             30.2 ns         30.1 ns            5
BM_Cancel/16/iterations:65536_median                                           29.9 ns         29.7 ns            5
BM_Cancel/16/iterations:65536_stddev                                           1.90 ns         1.92 ns            5
BM_Cancel/16/iterations:65536_cv                                               6.31 %          6.39 %             5
BM_Cancel/256/iterations:65536_mean                                            60.8 ns         60.5 ns            5
BM_Cancel/256/iterations:65536_median                                          61.0 ns         60.7 ns            5
BM_Cancel/256/iterations:65536_stddev                                          3.12 ns         3.35 ns            5
BM_Cancel/256/iterations:65536_cv                                              5.13 %          5.54 %             5
BM_Cancel/4096/iterations:65536_mean                                           70.4 ns         70.3 ns            5
BM_Cancel/4096/iterations:65536_median                                         70.5 ns         70.3 ns            5
