Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T20:38:14+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.85, 4.10, 4.70
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/16/iterations:65536_mean                                             90.1 ns         89.7 ns            5
BM_Cancel/16/iterations:65536_median                                           90.5 ns         90.3 ns            5
BM_Cancel/16/iterations:65536_stddev                                           3.88 ns         4.11 ns            5
BM_Cancel/16/iterations:65536_cv                                               4.30 %          4.59 %             5
BM_Cancel/256/iterations:65536_mean                                             135 ns          135 ns            5
BM_Cancel/256/iterations:65536_median                                           137 ns          137 ns            5
BM_Cancel/256/iterations:65536_stddev                                          5.09 ns         5.01 ns            5
BM_Cancel/256/iterations:65536_cv                                              3.76 %          3.70 %             5
BM_Cancel/4096/iterations:65536_mean                                            159 ns          158 ns            5
BM_Cancel/4096/iterations:65536_median                                          154 ns          154 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         11.2 ns         11.0 ns            5
BM_Cancel/4096/iterations:65536_cv                                             7.08 %          6.97 %             5
BM_Cancel/65536/iterations:65536_mean                                           110 ns          110 ns            5
BM_Cancel/65536/iterations:65536_median                                         111 ns          111 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        1.97 ns         1.94 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.79 %          1.77 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          26.5 ns         26.5 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        26.7 ns         26.6 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.341 ns        0.315 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            1.29 %          1.19 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         27.5 ns         27.4 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       26.8 ns         26.8 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                       1.09 ns        0.970 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           3.97 %          3.54 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        28.1 ns         28.1 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      27.9 ns         27.9 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.627 ns        0.532 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          2.23 %          1.89 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       31.5 ns         31.4 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     31.2 ns         31.3 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.592 ns        0.552 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.88 %          1.76 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      33.4 ns         33.4 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    33.3 ns         33.3 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.868 ns        0.749 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        2.60 %          2.25 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             70.0 ns         69.8 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           69.6 ns         69.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           1.42 ns         1.18 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               2.03 %          1.69 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean             105 ns          105 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median           106 ns          106 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.548 ns        0.487 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              0.52 %          0.46 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            159 ns          159 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          159 ns          159 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         1.31 ns         1.28 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.82 %          0.81 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           213 ns          213 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         213 ns          213 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        1.41 ns         1.14 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.66 %          0.54 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          656 ns          655 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        649 ns          648 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       13.6 ns         13.5 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           2.07 %          2.06 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  72.5 ns         72.4 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                73.1 ns         73.0 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                1.49 ns         1.36 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    2.05 %          1.88 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                  104 ns          104 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median                104 ns          104 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev              0.750 ns        0.577 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   0.72 %          0.56 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 159 ns          159 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               160 ns          159 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev             0.776 ns        0.658 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.49 %          0.41 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                213 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              213 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             1.58 ns         1.52 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.74 %          0.71 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               655 ns          654 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             653 ns          652 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            3.64 ns         3.14 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                0.56 %          0.48 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        7.90 ns         7.90 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      7.86 ns         7.87 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.070 ns        0.065 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          0.89 %          0.82 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        14.6 ns         14.6 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      14.3 ns         14.3 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.671 ns        0.680 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          4.59 %          4.66 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       46.5 ns         46.4 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     46.4 ns         46.4 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.808 ns        0.629 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         1.74 %          1.36 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        208 ns          208 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      209 ns          209 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.914 ns        0.729 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.44 %          0.35 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                       926 ns          924 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                     926 ns          924 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                   0.881 ns         1.35 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.10 %          0.15 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     7234 ns         7225 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   7226 ns         7216 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   15.2 ns         15.2 ns            5
