Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T03:05:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.56, 4.19, 4.46
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/16/iterations:65536_stddev                                           4.43 ns         4.27 ns            5
BM_Cancel/16/iterations:65536_cv                                              14.35 %         13.85 %             5
BM_Cancel/256/iterations:65536_mean                                            51.3 ns         51.3 ns            5
BM_Cancel/256/iterations:65536_median                                          51.4 ns         51.1 ns            5
BM_Cancel/256/iterations:65536_stddev                                          3.91 ns         3.94 ns            5
BM_Cancel/256/iterations:65536_cv                                              7.61 %          7.68 %             5
BM_Cancel/4096/iterations:65536_mean                                           60.1 ns         59.8 ns            5
BM_Cancel/4096/iterations:65536_median                                         60.4 ns         60.0 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         1.19 ns         1.06 ns            5
BM_Cancel/4096/iterations:65536_cv                                             1.98 %          1.77 %             5
BM_Cancel/65536/iterations:65536_mean                                          79.0 ns         78.6 ns            5
BM_Cancel/65536/iterations:65536_median                                        79.1 ns         78.5 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        1.03 ns        0.934 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.31 %          1.19 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          21.7 ns         21.6 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        21.5 ns         21.5 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.394 ns        0.274 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            1.82 %          1.27 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         22.2 ns         22.2 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       22.1 ns         22.0 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.464 ns        0.466 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           2.09 %          2.10 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        22.2 ns         22.1 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      22.1 ns         22.1 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.125 ns        0.112 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          0.57 %          0.50 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       25.6 ns         25.6 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     25.4 ns         25.4 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.322 ns        0.289 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.26 %          1.13 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      25.9 ns         25.8 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    26.1 ns         25.8 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.551 ns        0.501 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        2.13 %          1.94 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             43.1 ns         43.1 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           43.2 ns         43.2 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev          0.546 ns        0.505 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               1.27 %          1.17 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean            73.7 ns         73.7 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median          73.8 ns         73.8 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.426 ns        0.392 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              0.58 %          0.53 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            123 ns          123 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          123 ns          122 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         1.29 ns         1.24 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             1.05 %          1.01 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           165 ns          165 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         164 ns          164 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        2.01 ns         2.03 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            1.22 %          1.23 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          465 ns          464 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        463 ns          462 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       6.66 ns         6.56 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           1.43 %          1.41 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  42.4 ns         42.4 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                42.1 ns         42.1 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev               0.624 ns        0.540 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    1.47 %          1.27 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                 73.8 ns         73.7 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median               73.6 ns         73.4 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev              0.613 ns        0.566 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   0.83 %          0.77 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 122 ns          122 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               122 ns          122 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev             0.792 ns        0.769 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.65 %          0.63 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                166 ns          165 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              166 ns          165 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             1.15 ns         1.13 ns            5
