Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:15:10+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.03, 4.82, 4.26
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/16/iterations:16384_cv                                         1.43 %          1.33 %             5 items_per_second=1.35%
BM_Sweep_Levels/iterations:16384_BigO                                        734.57 (1)      732.69 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        2939 ns         2932 ns            5 items_per_second=21.832M/s
BM_Sweep_Levels/64/iterations:4096_median                                      2923 ns         2915 ns            5 items_per_second=21.9588M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      42.2 ns         41.2 ns            5 items_per_second=302.135k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          1.44 %          1.41 %             5 items_per_second=1.38%
BM_Sweep_Levels/iterations:4096_BigO                                        2939.34 (1)     2931.93 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      11627 ns        11599 ns            5 items_per_second=22.0738M/s
BM_Sweep_Levels/256/iterations:1024_median                                    11588 ns        11578 ns            5 items_per_second=22.1107M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                      157 ns          150 ns            5 items_per_second=285.735k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         1.35 %          1.29 %             5 items_per_second=1.29%
BM_Sweep_Levels/iterations:1024_BigO                                       11627.47 (1)    11599.02 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      46508 ns        46375 ns            5 items_per_second=22.082M/s
BM_Sweep_Levels/1024/iterations:256_median                                    46469 ns        46426 ns            5 items_per_second=22.0567M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      382 ns          380 ns            5 items_per_second=180.761k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         0.82 %          0.82 %             5 items_per_second=0.82%
BM_Sweep_Levels/iterations:256_BigO                                        46508.20 (1)    46375.00 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              29.8 ns         29.7 ns            5
BM_Cancel/1/iterations:65536_median                                            29.8 ns         29.7 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.291 ns        0.206 ns            5
BM_Cancel/1/iterations:65536_cv                                                0.98 %          0.69 %             5
BM_Cancel/16/iterations:65536_mean                                             90.6 ns         90.4 ns            5
BM_Cancel/16/iterations:65536_median                                           92.9 ns         92.3 ns            5
BM_Cancel/16/iterations:65536_stddev                                           8.65 ns         8.64 ns            5
BM_Cancel/16/iterations:65536_cv                                               9.54 %          9.55 %             5
BM_Cancel/256/iterations:65536_mean                                             138 ns          137 ns            5
BM_Cancel/256/iterations:65536_median                                           137 ns          137 ns            5
BM_Cancel/256/iterations:65536_stddev                                          10.4 ns         10.1 ns            5
BM_Cancel/256/iterations:65536_cv                                              7.50 %          7.34 %             5
BM_Cancel/4096/iterations:65536_mean                                            169 ns          169 ns            5
BM_Cancel/4096/iterations:65536_median                                          168 ns          167 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         8.21 ns         8.12 ns            5
BM_Cancel/4096/iterations:65536_cv                                             4.85 %          4.80 %             5
BM_Cancel/65536/iterations:65536_mean                                           111 ns          111 ns            5
BM_Cancel/65536/iterations:65536_median                                         112 ns          112 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        2.18 ns         2.22 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.95 %          2.00 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          26.2 ns         26.2 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        26.1 ns         26.1 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.123 ns        0.120 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            0.47 %          0.46 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         28.1 ns         28.1 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       28.1 ns         28.1 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.188 ns        0.190 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           0.67 %          0.68 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        29.0 ns         28.9 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      28.9 ns         28.9 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.315 ns        0.281 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          1.09 %          0.97 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       31.0 ns         31.0 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     30.7 ns         30.7 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.646 ns        0.612 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         2.08 %          1.97 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      33.7 ns         33.5 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    33.5 ns         33.5 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.602 ns        0.479 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        1.79 %          1.43 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             73.3 ns         71.7 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           71.3 ns         70.0 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           4.41 ns         2.55 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               6.01 %          3.55 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean             111 ns          109 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median           111 ns          109 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev          1.17 ns         1.16 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              1.05 %          1.07 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            166 ns          166 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          167 ns          167 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         2.30 ns         1.88 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             1.38 %          1.13 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           214 ns          214 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         214 ns          214 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        1.27 ns         1.19 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.59 %          0.56 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          678 ns          677 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        671 ns          669 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       17.2 ns         16.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           2.53 %          2.45 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  69.8 ns         69.6 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                70.0 ns         69.4 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                1.40 ns         1.39 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    2.00 %          2.00 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                  107 ns          107 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median                107 ns          107 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev               1.74 ns         1.55 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   1.62 %          1.44 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 166 ns          166 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               167 ns          166 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev              1.00 ns        0.884 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.60 %          0.53 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                214 ns          214 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              214 ns          214 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             1.28 ns         1.11 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.60 %          0.52 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               673 ns          672 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             676 ns          675 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            15.4 ns         15.1 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                2.29 %          2.25 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        7.98 ns         7.94 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      7.90 ns         7.90 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.170 ns        0.077 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          2.14 %          0.97 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        15.6 ns         15.6 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      15.6 ns         15.6 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.663 ns        0.660 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          4.25 %          4.24 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       45.7 ns         45.5 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     45.4 ns         45.3 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                     1.10 ns        0.768 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         2.40 %          1.69 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        206 ns          206 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      206 ns          206 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.867 ns        0.506 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.42 %          0.25 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                       907 ns          906 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                     907 ns          906 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    3.01 ns         2.86 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.33 %          0.32 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     7109 ns         7100 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   7112 ns         7103 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   12.3 ns         10.8 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.17 %          0.15 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        7.94 ns         7.94 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      7.90 ns         7.90 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.083 ns        0.075 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          1.05 %          0.95 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       8.33 ns         8.33 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     8.28 ns         8.29 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.147 ns        0.139 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         1.76 %          1.67 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      8.22 ns         8.23 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    8.21 ns         8.22 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.020 ns        0.025 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        0.25 %          0.30 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     8.44 ns         8.42 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   8.30 ns         8.32 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.216 ns        0.210 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       2.56 %          2.50 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      13.7 ns         13.5 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    12.8 ns         13.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                    2.92 ns         3.02 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                       21.36 %         22.35 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         58.2 ns         58.0 ns            5 items_per_second=17.2459M/s
BM_Fok_Executed/1/iterations:8000_median                                       57.5 ns         57.5 ns            5 items_per_second=17.3913M/s
BM_Fok_Executed/1/iterations:8000_stddev                                       1.49 ns         1.06 ns            5 items_per_second=312.236k/s
BM_Fok_Executed/1/iterations:8000_cv                                           2.55 %          1.82 %             5 items_per_second=1.81%
BM_Fok_Executed/4/iterations:4000_mean                                          190 ns          190 ns            5 items_per_second=21.0893M/s
BM_Fok_Executed/4/iterations:4000_median                                        189 ns          189 ns            5 items_per_second=21.164M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       2.69 ns         2.69 ns            5 items_per_second=297.497k/s
BM_Fok_Executed/4/iterations:4000_cv                                           1.42 %          1.42 %             5 items_per_second=1.41%
BM_Fok_Executed/16/iterations:2000_mean                                         766 ns          763 ns            5 items_per_second=20.9678M/s
BM_Fok_Executed/16/iterations:2000_median                                       756 ns          756 ns            5 items_per_second=21.164M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      21.0 ns         17.7 ns            5 items_per_second=482.285k/s
BM_Fok_Executed/16/iterations:2000_cv                                          2.74 %          2.32 %             5 items_per_second=2.30%
