Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:53:27+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.79, 5.98, 6.15
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Sweep_Levels/1024/iterations:256_median                                   190274 ns       189898 ns            5 items_per_second=5.39236M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                     4019 ns         4051 ns            5 items_per_second=113.184k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         2.10 %          2.12 %             5 items_per_second=2.11%
BM_Sweep_Levels/iterations:256_BigO                                        19132.56 lgN    19100.31 lgN  
BM_Sweep_Levels/iterations:256_RMS                                                2 %             2 %    
BM_Cancel/1/iterations:65536_mean                                              17.4 ns         17.4 ns            5
BM_Cancel/1/iterations:65536_median                                            17.4 ns         17.4 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.218 ns        0.218 ns            5
BM_Cancel/1/iterations:65536_cv                                                1.25 %          1.26 %             5
BM_Cancel/16/iterations:65536_mean                                             22.6 ns         22.6 ns            5
BM_Cancel/16/iterations:65536_median                                           21.5 ns         21.5 ns            5
BM_Cancel/16/iterations:65536_stddev                                           2.37 ns         2.37 ns            5
BM_Cancel/16/iterations:65536_cv                                              10.52 %         10.50 %             5
BM_Cancel/256/iterations:65536_mean                                            37.3 ns         37.3 ns            5
BM_Cancel/256/iterations:65536_median                                          35.0 ns         34.8 ns            5
BM_Cancel/256/iterations:65536_stddev                                          4.09 ns         4.11 ns            5
BM_Cancel/256/iterations:65536_cv                                             10.98 %         11.04 %             5
BM_Cancel/4096/iterations:65536_mean                                           40.8 ns         40.6 ns            5
BM_Cancel/4096/iterations:65536_median                                         39.1 ns         38.7 ns            5
BM_Cancel/4096/iterations:65536_stddev                                         6.54 ns         6.52 ns            5
BM_Cancel/4096/iterations:65536_cv                                            16.04 %         16.05 %             5
BM_Cancel/65536/iterations:65536_mean                                          67.1 ns         66.8 ns            5
BM_Cancel/65536/iterations:65536_median                                        67.1 ns         66.7 ns            5
BM_Cancel/65536/iterations:65536_stddev                                       0.520 ns        0.285 ns            5
BM_Cancel/65536/iterations:65536_cv                                            0.78 %          0.43 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          22.3 ns         22.3 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        22.5 ns         22.5 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.710 ns        0.625 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            3.18 %          2.81 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         23.1 ns         23.1 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       23.0 ns         23.0 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.125 ns        0.128 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           0.54 %          0.56 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        23.7 ns         23.7 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      23.6 ns         23.6 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.212 ns        0.210 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          0.89 %          0.88 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       26.4 ns         26.3 ns            5
