Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:46:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.10, 5.14, 5.06
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityPreserving/256/iterations:65536_median                      24.2 ns         24.1 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.509 ns        0.368 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          2.09 %          1.52 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       28.8 ns         28.8 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     28.8 ns         28.8 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.361 ns        0.360 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.25 %          1.25 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      30.3 ns         30.1 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    30.5 ns         30.2 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.446 ns        0.329 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        1.47 %          1.09 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             56.4 ns         56.4 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           56.2 ns         56.2 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           1.22 ns         1.17 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               2.16 %          2.08 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean            85.4 ns         85.3 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median          85.4 ns         85.4 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.320 ns        0.262 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              0.37 %          0.31 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            136 ns          135 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          136 ns          135 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev        0.488 ns        0.330 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.36 %          0.24 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           176 ns          176 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         175 ns          175 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        2.30 ns         1.83 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            1.31 %          1.04 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          552 ns          550 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        548 ns          546 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       9.39 ns         8.90 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           1.70 %          1.62 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  55.6 ns         55.5 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                55.1 ns         55.1 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev               0.839 ns        0.733 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    1.51 %          1.32 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                 86.1 ns         85.9 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median               84.8 ns         84.6 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev               2.25 ns         2.12 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   2.62 %          2.47 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 136 ns          136 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               135 ns          135 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev              1.09 ns        0.958 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.80 %          0.71 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                176 ns          176 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              176 ns          176 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             1.71 ns         1.19 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.97 %          0.67 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               566 ns          564 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             568 ns          566 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            6.05 ns         5.93 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                1.07 %          1.05 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        8.08 ns         8.00 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      7.90 ns         7.90 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.449 ns        0.254 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          5.55 %          3.17 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        14.9 ns         14.8 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      15.3 ns         15.3 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.827 ns        0.714 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          5.56 %          4.83 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       45.5 ns         45.5 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     45.4 ns         45.4 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.433 ns        0.415 ns            5
